branch_id,from_bus_id,to_bus_id,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt,mu_Sf,mu_St,mu_angmin,mu_angmax,branch_device_type,interconnect
47,30,888,0.005568,0.018483,0.00586,192.16,0,0,0.0,0.0,1,0,0,-26.98,6.81,27.02,-7.31,0,0,0,0,Line,Eastern
48,31,32,0.000235,0.001021,0.0,0.0,0,0,0.0,0.0,1,0,0,2.44,0.18,-2.44,-0.18,0,0,0,0,Line,Eastern
49,31,34,0.003641,0.016016,0.00242,176.39,0,0,0.0,0.0,1,0,0,-11.27,-8.45,11.28,8.22,0,0,0,0,Line,Eastern
50,31,35,0.004518,0.017964,0.00418,172.33,0,0,0.0,0.0,1,0,0,12.18,-0.67,-12.17,0.24,0,0,0,0,Line,Eastern
51,37,31,0.002877,0.014358,0.0108,125.28,0,0,0.0,0.0,1,0,0,3.35,-10.09,-3.35,8.94,0,0,0,0,Line,Eastern
52,33,34,0.000271,0.001141,0.0,0.0,0,0,0.0,0.0,1,0,0,-2.44,-1.06,2.44,1.06,0,0,0,0,Line,Eastern
53,35,36,0.000219,0.001099,0.0,0.0,0,0,0.0,0.0,1,0,0,4.99,0.91,-4.99,-0.91,0,0,0,0,Line,Eastern
54,35,888,0.002187,0.01011,0.00523,161.81,0,0,0.0,0.0,1,0,0,7.18,-1.15,-7.18,0.59,0,0,0,0,Line,Eastern
55,37,616,0.004726,0.017302,0.00305,147.82,0,0,0.0,0.0,1,0,0,-6.12,9.28,6.12,-9.59,0,0,0,0,Line,Eastern
56,38,248,0.006091,0.032751,0.00471,133.61,0,0,0.0,0.0,1,0,0,-2.1,-0.62,2.1,0.11,0,0,0,0,Line,Eastern
57,1077,38,0.00302,0.016963,0.00459,133.03,0,0,0.0,0.0,1,0,0,1.73,-0.15,-1.73,-0.35,0,0,0,0,Line,Eastern
58,39,40,0.000213,0.001125,0.0,0.0,0,0,0.0,0.0,1,0,0,4.89,0.95,-4.89,-0.95,0,0,0,0,Line,Eastern
59,39,1077,0.004132,0.018829,0.00199,195.3,0,0,0.0,0.0,1,0,0,-22.91,4.85,22.93,-4.97,0,0,0,0,Line,Eastern
60,42,41,0.004594,0.018606,0.00706,168.43,0,0,0.0,0.0,1,0,0,11.92,2.73,-11.91,-3.47,0,0,0,0,Line,Eastern
61,41,44,0.006386,0.025673,0.00576,160.64,0,0,0.0,0.0,1,0,0,8.64,2.92,-8.63,-3.53,0,0,0,0,Line,Eastern
62,42,43,0.007221,0.032395,0.0039,174.84,0,0,0.0,0.0,1,0,0,-14.5,-2.92,14.52,2.56,0,0,0,0,Line,Eastern
63,43,49,0.004231,0.022696,0.03977,178.49,0,0,0.0,0.0,1,0,0,-16.28,-3.29,16.3,-1.03,0,0,0,0,Line,Eastern
64,44,1137,0.005469,0.024606,0.00615,125.38,0,0,0.0,0.0,1,0,0,2.47,1.96,-2.47,-2.63,0,0,0,0,Line,Eastern
65,45,172,0.004126,0.019677,0.01039,207.39,0,0,0.0,0.0,1,0,0,-34.47,2.32,34.52,-3.23,0,0,0,0,Line,Eastern
66,45,191,0.004324,0.024914,0.01933,198.25,0,0,0.0,0.0,1,0,0,31.39,-2.73,-31.35,0.85,0,0,0,0,Line,Eastern
67,46,1173,0.003912,0.016,0.00684,119.7,0,0,0.0,0.0,1,0,0,0.22,-1.74,-0.22,1.0,0,0,0,0,Line,Eastern
68,340,47,0.003493,0.017261,0.00427,170.03,0,0,0.0,0.0,1,0,0,13.59,6.0,-13.58,-6.42,0,0,0,0,Line,Eastern
69,616,47,0.008438,0.036268,0.00608,162.01,0,0,0.0,0.0,1,0,0,-9.84,-5.43,9.85,4.81,0,0,0,0,Line,Eastern
70,49,48,0.001164,0.053489,0.0,183.3,0,0,1.00625,0.0,1,0,0,-14.68,-0.04,14.68,0.15,0,0,0,0,Transformer,Eastern
71,48,50,0.000217,0.001106,0.0,0.0,0,0,0.0,0.0,1,0,0,3.31,0.94,-3.31,-0.94,0,0,0,0,Line,Eastern
72,48,1078,0.002078,0.015722,0.0671,587.46,0,0,0.0,0.0,1,0,0,-50.92,42.99,51.01,-49.56,0,0,0,0,Line,Eastern
73,51,456,0.005242,0.027896,0.01705,165.09,0,0,0.0,0.0,1,0,0,-8.77,-1.01,8.78,-0.85,0,0,0,0,Line,Eastern
74,52,53,0.000251,0.001061,0.0,0.0,0,0,0.0,0.0,1,0,0,1.96,0.2,-1.96,-0.2,0,0,0,0,Line,Eastern
75,54,52,0.006915,0.029728,0.00968,159.11,0,0,0.0,0.0,1,0,0,-6.28,9.08,6.29,-10.05,0,0,0,0,Line,Eastern
76,560,52,0.026198,0.096791,0.02833,166.88,0,0,0.0,0.0,1,0,0,8.3,-12.59,-8.25,9.85,0,0,0,0,Line,Eastern
77,54,55,0.000208,0.001019,0.0,0.0,0,0,0.0,0.0,1,0,0,0.96,0.19,-0.96,-0.19,0,0,0,0,Line,Eastern
78,54,111,0.035028,0.122634,0.03003,153.16,0,0,0.0,0.0,1,0,0,5.31,-9.27,-5.28,6.21,0,0,0,0,Line,Eastern
79,56,104,0.013188,0.046966,0.01022,158.08,0,0,0.0,0.0,1,0,0,-1.69,-6.23,1.69,5.14,0,0,0,0,Line,Eastern
80,107,56,0.01216,0.052105,0.0209,132.58,0,0,0.0,0.0,1,0,0,1.55,-8.04,-1.54,5.81,0,0,0,0,Line,Eastern
81,57,61,0.004859,0.026113,0.00823,131.93,0,0,0.0,0.0,1,0,0,0.91,0.21,-0.91,-1.11,0,0,0,0,Line,Eastern
82,57,87,0.008507,0.05227,0.00892,142.41,0,0,0.0,0.0,1,0,0,1.8,-2.02,-1.8,1.04,0,0,0,0,Line,Eastern
83,1176,57,0.004049,0.022606,0.00294,175.74,0,0,0.0,0.0,1,0,0,8.42,-1.53,-8.41,1.22,0,0,0,0,Line,Eastern
84,59,58,0.001766,0.0693,0.0,145.84,0,0,1.0,0.0,1,0,0,-6.1,1.31,6.1,-1.29,0,0,0,0,Transformer,Eastern
85,58,60,0.000261,0.001033,0.0,0.0,0,0,0.0,0.0,1,0,0,5.7,3.63,-5.7,-3.63,0,0,0,0,Line,Eastern
86,58,73,0.006602,0.053906,0.125,474.11,0,0,0.0,0.0,1,0,0,9.19,-12.19,-9.19,-1.52,0,0,0,0,Line,Eastern
87,1180,58,0.00195,0.015814,0.05152,527.99,0,0,0.0,0.0,1,0,0,21.0,-15.41,-20.99,9.85,0,0,0,0,Line,Eastern
88,128,59,0.010648,0.054754,0.01217,166.0,0,0,0.0,0.0,1,0,0,-6.1,-0.01,6.1,-1.31,0,0,0,0,Line,Eastern
89,1176,61,0.006676,0.036728,0.00819,165.15,0,0,0.0,0.0,1,0,0,5.82,-0.83,-5.82,-0.06,0,0,0,0,Line,Eastern
90,110,62,0.01309,0.05991,0.01047,162.14,0,0,0.0,0.0,1,0,0,-10.21,5.04,10.23,-6.09,0,0,0,0,Line,Eastern
91,62,1050,0.006949,0.026646,0.0082,166.63,0,0,0.0,0.0,1,0,0,-11.15,5.55,11.16,-6.39,0,0,0,0,Line,Eastern
92,63,732,0.012976,0.087533,0.02469,169.66,0,0,0.0,0.0,1,0,0,22.95,-3.79,-22.88,1.58,0,0,0,0,Line,Eastern
93,1050,63,0.008905,0.041203,0.012,175.41,0,0,0.0,0.0,1,0,0,24.29,-4.56,-24.24,3.5,0,0,0,0,Line,Eastern
94,64,65,0.000246,0.001173,0.0,0.0,0,0,0.0,0.0,1,0,0,0.64,0.1,-0.64,-0.1,0,0,0,0,Line,Eastern
95,75,64,0.030474,0.121733,0.01613,133.64,0,0,0.0,0.0,1,0,0,1.11,8.88,-1.09,-10.5,0,0,0,0,Line,Eastern
96,64,119,0.03452,0.180582,0.01906,120.32,0,0,0.0,0.0,1,0,0,0.45,-8.44,-0.43,6.5,0,0,0,0,Line,Eastern
97,72,66,0.01857,0.100939,0.01043,148.91,0,0,0.0,0.0,1,0,0,2.82,0.61,-2.82,-1.75,0,0,0,0,Line,Eastern
98,66,112,0.0134,0.064262,0.01583,139.35,0,0,0.0,0.0,1,0,0,1.54,1.57,-1.54,-3.3,0,0,0,0,Line,Eastern
99,69,67,0.009344,0.037912,0.00944,137.55,0,0,0.0,0.0,1,0,0,-0.16,4.43,0.16,-5.46,0,0,0,0,Line,Eastern
100,67,1018,0.010192,0.051349,0.00772,124.81,0,0,0.0,0.0,1,0,0,-2.18,4.8,2.18,-5.63,0,0,0,0,Line,Eastern
101,69,68,0.01103,0.041936,0.00527,125.42,0,0,0.0,0.0,1,0,0,-0.41,-0.43,0.41,-0.15,0,0,0,0,Line,Eastern
102,68,1176,0.002518,0.010316,0.00936,147.6,0,0,0.0,0.0,1,0,0,-2.43,-0.42,2.43,-0.61,0,0,0,0,Line,Eastern
103,69,70,0.000278,0.001168,0.0,0.0,0,0,0.0,0.0,1,0,0,2.02,0.22,-2.02,-0.22,0,0,0,0,Line,Eastern
104,89,69,0.019035,0.082001,0.0104,147.47,0,0,0.0,0.0,1,0,0,-2.7,0.96,2.7,-2.09,0,0,0,0,Line,Eastern
105,69,1176,0.002617,0.010203,0.03038,163.49,0,0,0.0,0.0,1,0,0,-4.14,-2.13,4.14,-1.22,0,0,0,0,Line,Eastern
106,72,71,0.001095,0.044637,0.0,167.27,0,0,1.0,0.0,1,0,0,-9.18,-1.48,9.19,1.52,0,0,0,0,Transformer,Eastern
107,71,73,0.000258,0.001108,0.0,0.0,0,0,0.0,0.0,1,0,0,-9.19,-1.52,9.19,1.52,0,0,0,0,Line,Eastern
108,74,75,0.000286,0.00102,0.0,0.0,0,0,0.0,0.0,1,0,0,-2.7,-0.77,2.7,0.77,0,0,0,0,Line,Eastern
109,76,75,0.007206,0.038001,0.01188,156.76,0,0,0.0,0.0,1,0,0,3.82,8.39,-3.81,-9.65,0,0,0,0,Line,Eastern
110,117,76,0.007871,0.036182,0.01805,158.84,0,0,0.0,0.0,1,0,0,4.31,3.12,-4.31,-5.08,0,0,0,0,Line,Eastern
111,76,125,0.036115,0.18422,0.02503,128.41,0,0,0.0,0.0,1,0,0,-0.76,-3.71,0.76,0.98,0,0,0,0,Line,Eastern
112,77,78,0.005272,0.025464,0.01007,146.33,0,0,0.0,0.0,1,0,0,1.65,-1.88,-1.65,0.8,0,0,0,0,Line,Eastern
113,77,81,0.002018,0.011544,0.00255,175.67,0,0,0.0,0.0,1,0,0,-7.41,0.14,7.41,-0.41,0,0,0,0,Line,Eastern
114,78,79,0.000205,0.001049,0.0,0.0,0,0,0.0,0.0,1,0,0,5.76,0.61,-5.76,-0.61,0,0,0,0,Line,Eastern
115,81,78,0.004667,0.02492,0.00384,167.04,0,0,0.0,0.0,1,0,0,5.14,-1.71,-5.14,1.31,0,0,0,0,Line,Eastern
116,108,78,0.011875,0.05754,0.01359,149.44,0,0,0.0,0.0,1,0,0,-1.02,1.27,1.02,-2.72,0,0,0,0,Line,Eastern
117,81,80,0.001618,0.065258,0.0,197.46,0,0,1.0,0.0,1,0,0,-16.19,11.57,16.2,-11.33,0,0,0,0,Transformer,Eastern
118,80,82,0.000232,0.001022,0.0,0.0,0,0,0.0,0.0,1,0,0,5.76,0.9,-5.76,-0.9,0,0,0,0,Line,Eastern
119,80,83,0.00263,0.025416,0.10274,491.78,0,0,0.0,0.0,1,0,0,-27.24,6.84,27.27,-17.42,0,0,0,0,Line,Eastern
120,80,895,0.003972,0.036333,0.10336,492.44,0,0,0.0,0.0,1,0,0,5.28,-36.16,-5.25,25.5,0,0,0,0,Line,Eastern
121,107,81,0.012955,0.051018,0.01654,134.06,0,0,0.0,0.0,1,0,0,-3.64,7.72,3.65,-9.45,0,0,0,0,Line,Eastern
122,83,84,0.0002,0.001013,0.0,0.0,0,0,0.0,0.0,1,0,0,2.38,0.27,-2.38,-0.27,0,0,0,0,Line,Eastern
123,83,1038,0.008333,0.074643,0.16747,504.32,0,0,0.0,0.0,1,0,0,-29.65,17.14,29.77,-33.31,0,0,0,0,Line,Eastern
124,85,86,0.000284,0.001175,0.0,0.0,0,0,0.0,0.0,1,0,0,1.3,0.1,-1.3,-0.1,0,0,0,0,Line,Eastern
125,85,111,0.023001,0.087933,0.02627,133.78,0,0,0.0,0.0,1,0,0,-3.02,4.17,3.03,-6.93,0,0,0,0,Line,Eastern
126,85,124,0.015017,0.078253,0.04743,105.99,0,0,0.0,0.0,1,0,0,1.71,-4.27,-1.71,-0.8,0,0,0,0,Line,Eastern
127,88,87,0.010586,0.034852,0.01277,129.68,0,0,0.0,0.0,1,0,0,-0.74,-0.22,0.74,-1.19,0,0,0,0,Line,Eastern
128,89,87,0.005019,0.024356,0.00737,123.65,0,0,0.0,0.0,1,0,0,0.43,-0.65,-0.43,-0.16,0,0,0,0,Line,Eastern
129,89,88,0.008327,0.051569,0.01442,128.47,0,0,0.0,0.0,1,0,0,0.77,-1.17,-0.77,-0.42,0,0,0,0,Line,Eastern
130,90,91,0.000293,0.001141,0.0,0.0,0,0,0.0,0.0,1,0,0,1.93,0.17,-1.93,-0.17,0,0,0,0,Line,Eastern
131,90,95,0.005208,0.023559,0.0172,93.1,0,0,0.0,0.0,1,0,0,0.74,2.03,-0.73,-3.92,0,0,0,0,Line,Eastern
132,90,129,0.043273,0.235689,0.04215,142.94,0,0,0.0,0.0,1,0,0,-2.66,-2.2,2.67,-2.44,0,0,0,0,Line,Eastern
133,93,92,0.001277,0.054774,0.0,166.61,0,0,0.99375,0.0,1,0,0,-8.45,3.27,8.45,-3.23,0,0,0,0,Transformer,Eastern
134,92,94,0.000237,0.001097,0.0,0.0,0,0,0.0,0.0,1,0,0,3.41,0.21,-3.41,-0.21,0,0,0,0,Line,Eastern
135,92,1180,0.005517,0.043584,0.18581,499.02,0,0,0.0,0.0,1,0,0,-11.86,3.02,11.88,-23.35,0,0,0,0,Line,Eastern
136,117,93,0.007677,0.034761,0.01768,163.25,0,0,0.0,0.0,1,0,0,-5.44,-3.23,5.44,1.3,0,0,0,0,Line,Eastern
137,93,118,0.006183,0.028013,0.01088,157.08,0,0,0.0,0.0,1,0,0,3.01,-4.58,-3.01,3.39,0,0,0,0,Line,Eastern
138,118,95,0.012476,0.067877,0.00942,145.31,0,0,0.0,0.0,1,0,0,1.61,-4.07,-1.61,3.04,0,0,0,0,Line,Eastern
140,96,100,0.000258,0.001104,0.0,0.0,0,0,0.0,0.0,1,0,0,2.79,0.45,-2.79,-0.45,0,0,0,0,Line,Eastern
141,96,1019,0.003014,0.02886,0.04666,468.16,0,0,0.0,0.0,1,0,0,-6.13,2.48,6.14,-7.59,0,0,0,0,Line,Eastern
143,97,103,0.005407,0.029285,0.00382,159.68,0,0,0.0,0.0,1,0,0,3.34,-2.94,-3.34,2.53,0,0,0,0,Line,Eastern
145,101,102,0.000221,0.001128,0.0,0.0,0,0,0.0,0.0,1,0,0,1.66,0.35,-1.66,-0.35,0,0,0,0,Line,Eastern
146,101,129,0.014639,0.078662,0.01076,143.37,0,0,0.0,0.0,1,0,0,3.92,-2.24,-3.92,1.06,0,0,0,0,Line,Eastern
147,101,1198,0.006853,0.03794,0.02285,156.56,0,0,0.0,0.0,1,0,0,-5.58,1.89,5.58,-4.4,0,0,0,0,Line,Eastern
148,129,103,0.010917,0.039367,0.01912,148.16,0,0,0.0,0.0,1,0,0,-1.69,0.65,1.69,-2.76,0,0,0,0,Line,Eastern
149,104,113,0.006672,0.035008,0.00763,169.47,0,0,0.0,0.0,1,0,0,12.22,-5.52,-12.21,4.75,0,0,0,0,Line,Eastern
150,896,104,0.004429,0.017528,0.00842,199.5,0,0,0.0,0.0,1,0,0,16.39,-1.11,-16.38,0.24,0,0,0,0,Line,Eastern
151,105,121,0.013956,0.0832,0.02005,179.75,0,0,0.0,0.0,1,0,0,-7.85,0.17,7.86,-2.18,0,0,0,0,Line,Eastern
152,552,105,0.016001,0.059719,0.01463,171.17,0,0,0.0,0.0,1,0,0,-6.06,-0.48,6.07,-1.0,0,0,0,0,Line,Eastern
153,106,107,0.000274,0.001005,0.0,0.0,0,0,0.0,0.0,1,0,0,-2.09,-0.32,2.09,0.32,0,0,0,0,Line,Eastern
154,108,124,0.013809,0.068231,0.00943,141.59,0,0,0.0,0.0,1,0,0,-0.31,-1.42,0.31,0.41,0,0,0,0,Line,Eastern
155,109,110,0.000216,0.001115,0.0,0.0,0,0,0.0,0.0,1,0,0,-1.75,-0.29,1.75,0.29,0,0,0,0,Line,Eastern
156,110,896,0.077432,0.351097,0.04325,154.52,0,0,0.0,0.0,1,0,0,8.46,-5.33,-8.4,0.9,0,0,0,0,Line,Eastern
157,112,119,0.022148,0.102565,0.03588,131.24,0,0,0.0,0.0,1,0,0,0.85,2.94,-0.84,-6.82,0,0,0,0,Line,Eastern
158,114,113,0.002424,0.013104,0.00198,158.2,0,0,0.0,0.0,1,0,0,-5.79,0.16,5.79,-0.37,0,0,0,0,Line,Eastern
159,113,1018,0.004993,0.021589,0.00826,156.5,0,0,0.0,0.0,1,0,0,0.09,-5.74,-0.09,4.84,0,0,0,0,Line,Eastern
160,115,114,0.006154,0.033887,0.00527,146.46,0,0,0.0,0.0,1,0,0,0.86,2.28,-0.86,-2.85,0,0,0,0,Line,Eastern
161,115,116,0.000215,0.0011,0.0,0.0,0,0,0.0,0.0,1,0,0,5.59,1.58,-5.59,-1.58,0,0,0,0,Line,Eastern
162,1018,115,0.001324,0.006219,0.00071,174.53,0,0,0.0,0.0,1,0,0,6.45,3.78,-6.45,-3.86,0,0,0,0,Line,Eastern
163,119,120,0.000222,0.001128,0.0,0.0,0,0,0.0,0.0,1,0,0,1.27,0.33,-1.27,-0.33,0,0,0,0,Line,Eastern
164,121,122,0.000268,0.001168,0.0,0.0,0,0,0.0,0.0,1,0,0,1.94,0.75,-1.94,-0.75,0,0,0,0,Line,Eastern
165,121,530,0.015531,0.073474,0.02345,189.86,0,0,0.0,0.0,1,0,0,-9.8,1.43,9.81,-3.76,0,0,0,0,Line,Eastern
166,123,124,0.000268,0.001074,0.0,0.0,0,0,0.0,0.0,1,0,0,-1.4,-0.39,1.4,0.39,0,0,0,0,Line,Eastern
167,126,125,0.002996,0.015844,0.00535,144.4,0,0,0.0,0.0,1,0,0,2.2,0.43,-2.2,-1.02,0,0,0,0,Line,Eastern
168,126,127,0.000273,0.001033,0.0,0.0,0,0,0.0,0.0,1,0,0,1.72,0.34,-1.72,-0.34,0,0,0,0,Line,Eastern
169,128,126,0.008288,0.036389,0.00778,157.97,0,0,0.0,0.0,1,0,0,3.92,-0.08,-3.92,-0.77,0,0,0,0,Line,Eastern
170,130,132,0.006974,0.02635,0.00612,177.29,0,0,0.0,0.0,1,0,0,-16.22,3.28,16.24,-3.87,0,0,0,0,Line,Eastern
171,134,130,0.003324,0.013265,0.00269,170.18,0,0,0.0,0.0,1,0,0,-13.21,3.77,13.22,-4.04,0,0,0,0,Line,Eastern
172,132,131,0.001112,0.060353,0.0,243.97,0,0,1.0,0.0,1,0,0,-30.83,5.2,30.84,-4.66,0,0,0,0,Transformer,Eastern
173,131,133,0.000216,0.001181,0.0,0.0,0,0,0.0,0.0,1,0,0,-30.84,4.66,30.84,-4.65,0,0,0,0,Line,Eastern
174,132,452,0.008195,0.032147,0.00634,166.07,0,0,0.0,0.0,1,0,0,9.43,-2.14,-9.42,1.48,0,0,0,0,Line,Eastern
175,133,445,0.003566,0.032447,0.06987,551.18,0,0,0.0,0.0,1,0,0,-30.84,4.65,30.87,-11.88,0,0,0,0,Line,Eastern
176,168,134,0.004064,0.016478,0.0073,164.13,0,0,0.0,0.0,1,0,0,-10.24,3.35,10.24,-4.13,0,0,0,0,Line,Eastern
177,135,136,0.004406,0.018983,0.01136,145.7,0,0,0.0,0.0,1,0,0,-3.44,4.57,3.44,-5.79,0,0,0,0,Line,Eastern
178,135,137,0.003334,0.013254,0.00759,146.21,0,0,0.0,0.0,1,0,0,-2.04,-7.15,2.04,6.34,0,0,0,0,Line,Eastern
179,135,625,0.003884,0.015227,0.00275,125.65,0,0,0.0,0.0,1,0,0,-3.29,-1.24,3.29,0.94,0,0,0,0,Line,Eastern
180,136,626,0.003998,0.023638,0.00736,172.26,0,0,0.0,0.0,1,0,0,-12.21,0.67,12.21,-1.44,0,0,0,0,Line,Eastern
181,1097,137,0.001021,0.0038,0.00113,172.62,0,0,0.0,0.0,1,0,0,10.81,9.59,-10.81,-9.7,0,0,0,0,Line,Eastern
182,138,608,0.006441,0.045766,0.01508,114.21,0,0,0.0,0.0,1,0,0,-0.35,-2.78,0.35,1.15,0,0,0,0,Line,Eastern
183,138,615,0.005377,0.023702,0.00552,164.9,0,0,0.0,0.0,1,0,0,-8.73,-0.11,8.73,-0.47,0,0,0,0,Line,Eastern
